CAM_ID,tracker_id,class_id,class_name,confidence,timestamp,direction,count,crowd,x_min,y_min,x_max,y_max,duration,speed_kmph
CAM-1,1,2,car,0.87,0:00:00,inside,6,low,1152.64,709.98,1252.88,790.18,0:00:12,70.43
CAM-1,4,2,car,0.66,0:00:00,Outside,6,low,754.5,481.67,797.12,515.9,0:00:06,90
CAM-1,7,7,truck,0.72,0:00:01,inside,4,low,1522.14,633.84,1781.45,844.01,0:00:22,41.81
CAM-1,8,2,car,0.82,0:00:03,inside,5,low,1270.88,709.91,1412.32,822.8,0:00:13,62.31
CAM-1,26,7,car,0.63,0:00:09,inside,7,low,1333.14,706.78,1460.22,827.96,0:00:17,90
CAM-1,29,2,car,0.65,0:00:10,Outside,7,low,668.82,527.68,712.16,565.78,0:00:03,99.69
CAM-1,36,2,car,0.65,0:00:11,Outside,8,low,678.7,513.1,720.39,559.11,0:00:03,120
CAM-1,37,2,car,0.69,0:00:12,Outside,8,low,680.8,499.97,722.1,535.06,0:00:04,101.25
CAM-1,38,2,car,0.62,0:00:12,Outside,10,medium,695.14,480.4,724.62,511.71,0:00:06,78.07
CAM-1,49,2,car,0.68,0:00:14,Outside,10,medium,668.29,516.41,705.77,555.97,0:00:06,70.43
CAM-1,56,2,car,0.51,0:00:15,Outside,10,medium,831.74,477.78,859.82,498.39,0:00:12,79.02
CAM-1,61,2,car,0.76,0:00:16,inside,9,medium,1323.13,744.88,1451.89,837.36,0:00:18,66.8
CAM-1,67,2,car,0.53,0:00:16,Outside,10,medium,665.57,500.66,718.93,544,0:00:06,75.35
CAM-1,77,2,car,0.73,0:00:18,Outside,10,medium,662.94,504.16,713.95,539.01,0:00:06,70.43
CAM-1,83,2,car,0.56,0:00:19,Outside,11,medium,684,525.28,722.49,572.43,0:00:03,99.69
CAM-1,85,2,car,0.58,0:00:20,Outside,8,low,716.42,514.66,768.68,552.91,0:00:04,91.27
CAM-1,88,2,car,0.86,0:00:21,inside,8,low,1379.92,735.47,1503.04,826.81,0:00:13,96.72
CAM-1,95,2,car,0.58,0:00:22,Outside,11,medium,879.26,446.38,907.89,467.71,0:00:11,108
CAM-1,101,2,car,0.91,0:00:26,inside,6,low,1195.58,709.33,1341.16,829.96,0:00:18,83.08
CAM-1,102,2,car,0.61,0:00:26,Outside,7,low,687.09,483.07,736.81,521.25,0:00:05,101.25
CAM-1,104,2,car,0.75,0:00:27,inside,5,low,1230.76,780.01,1387.41,839.18,0:00:12,85.26
CAM-1,108,2,car,0.83,0:00:29,inside,7,low,1408.55,734.89,1545.06,838.38,0:00:16,115.71
CAM-1,112,7,car,0.53,0:00:32,inside,8,low,1523.36,644.25,1679,791.15,0:00:06,96.72
CAM-1,122,2,car,0.89,0:00:37,inside,6,low,1188.77,736.11,1303.05,830.06,0:00:09,93.91
CAM-1,125,2,car,0.64,0:00:38,Outside,7,low,694.59,480.54,737.08,517.81,0:00:05,95.29
CAM-1,132,2,car,0.62,0:00:40,Outside,9,medium,700.91,490.92,737.97,526.26,0:00:04,108
CAM-1,136,2,car,0.81,0:00:41,inside,10,medium,1537.63,733.19,1680.57,825.88,0:00:05,62.31
CAM-1,138,7,car,0.69,0:00:42,inside,11,medium,1346.81,712.92,1484.87,822.38,0:00:04,95.29
