CAM_ID,tracker_id,class_id,class_name,confidence,timestamp,direction,count,crowd,x_min,y_min,x_max,y_max,speed_kmph,duration
CAM-2,2,2,car,0.8,0:00:00,Outside,12,medium,536.66,456.46,587.83,495.43,62.31,0:00:05
CAM-2,4,2,car,0.71,0:00:00,Outside,12,medium,913.65,398.03,954.14,433.31,96.72,0:00:08
CAM-2,6,2,car,0.69,0:00:00,Outside,12,medium,670.67,441.26,719.15,475.42,58.38,0:00:08
CAM-2,7,2,car,0.66,0:00:00,Outside,12,medium,713.61,380.67,744.95,402.84,63.53,0:00:14
CAM-2,17,2,car,0.57,0:00:00,inside,15,high,1761.66,638.62,1854.21,734.66,85.26,0:00:06
CAM-2,18,2,car,0.58,0:00:00,Outside,15,high,790.96,394,823.67,421.33,83.08,0:00:12
CAM-2,28,2,car,0.61,0:00:01,inside,16,high,1732.56,729.71,1853.65,858.04,102.86,0:00:04
CAM-2,37,2,car,0.56,0:00:03,Outside,16,high,860.51,402.11,892.58,424.17,102.86,0:00:09
CAM-2,40,2,car,0.52,0:00:04,Outside,18,high,745.66,366.66,777.46,387.17,66.8,0:00:14
CAM-2,75,2,car,0.56,0:00:10,Outside,12,medium,776.55,364.78,808.84,391.13,76.24,0:00:12
CAM-2,83,2,car,0.53,0:00:11,inside,15,high,1809.13,671.32,1854.52,757.09,86.4,0:00:06
CAM-2,99,2,car,0.56,0:00:14,Outside,11,medium,829.5,355.07,853.4,373.99,76.24,0:00:17
CAM-2,112,2,car,0.58,0:00:16,Outside,12,medium,933.86,359.31,960.07,380.42,101.25,0:00:13
CAM-2,126,2,car,0.64,0:00:18,Outside,11,medium,522.96,460.23,580.48,508.84,66.8,0:00:07
CAM-2,139,2,car,0.64,0:00:19,Outside,13,medium,654,378.1,683.43,400.35,56.84,0:00:16
CAM-2,145,2,car,0.53,0:00:20,Outside,11,medium,671.67,388.58,712.56,422.48,80,0:00:10
CAM-2,161,2,car,0.55,0:00:23,inside,13,medium,1826.68,651.31,1857.29,735.07,68.94,0:00:06
CAM-2,176,2,car,0.7,0:00:26,inside,12,medium,1780.01,782.32,1857.11,894.16,96.72,0:00:04
